1;DARM001;1984;George Orwel;1984 es una novela pol’tica de ficci—n dist—pica, escrita por George Orwell entre 1947 y 1948 y publicada el 8 de junio de 1949.;DEBOLSILLO;2014
2;DARM002;2666;ROBERTO BOLA„O;2666 es una novela p—stuma del escritor chileno Roberto Bola–o (1953-2003) publicada en el a–o 2004. ;IGNACIO ECHEVERRIA;2004
3;DARM003;A Sangre Fria;Truman Capote;es una novela del periodista y escritor estadounidense Truman Capote, empezada a escribir en 1959 y publicada en 1966;RANDOM HOUSE;1966
4;DARM004;Absalom, Absalom;Willia Faulkner;es una novela publicada en 1936, escrita por William Faulkner, uno de los novelistas m‡s reconocidos de la literatura estadounidense del siglo XX.;RANDOM HOUSE;1963
5;DARM005;Adam Bede;George Eliot;Adam Bede, the first novel written by George Eliot (the pen name of Mary Ann Evans), was published in 1859.;EDICIONES DEL BRONCE;2000
